year,General Food Category,Sub-Category,Detail,avg_per_capita_calories
1970,"Meat, eggs, and nuts",Meat,Red meat,325.3
1971,"Meat, eggs, and nuts",Meat,Red meat,331.9
1972,"Meat, eggs, and nuts",Meat,Red meat,325.5
1973,"Meat, eggs, and nuts",Meat,Red meat,301.6
1974,"Meat, eggs, and nuts",Meat,Red meat,322.4
1975,"Meat, eggs, and nuts",Meat,Red meat,313.6
1976,"Meat, eggs, and nuts",Meat,Red meat,333
1977,"Meat, eggs, and nuts",Meat,Red meat,329.1
1978,"Meat, eggs, and nuts",Meat,Red meat,316.5
1979,"Meat, eggs, and nuts",Meat,Red meat,303.9
1980,"Meat, eggs, and nuts",Meat,Red meat,306.8
1981,"Meat, eggs, and nuts",Meat,Red meat,304.7
1982,"Meat, eggs, and nuts",Meat,Red meat,294
1983,"Meat, eggs, and nuts",Meat,Red meat,303.4
1984,"Meat, eggs, and nuts",Meat,Red meat,302.6
1985,"Meat, eggs, and nuts",Meat,Red meat,305.5
1986,"Meat, eggs, and nuts",Meat,Red meat,300
1987,"Meat, eggs, and nuts",Meat,Red meat,286.9
1988,"Meat, eggs, and nuts",Meat,Red meat,290.5
1989,"Meat, eggs, and nuts",Meat,Red meat,280
1990,"Meat, eggs, and nuts",Meat,Red meat,272.4
1991,"Meat, eggs, and nuts",Meat,Red meat,270.3
1992,"Meat, eggs, and nuts",Meat,Red meat,273.6
1993,"Meat, eggs, and nuts",Meat,Red meat,268.2
1994,"Meat, eggs, and nuts",Meat,Red meat,274.2
1995,"Meat, eggs, and nuts",Meat,Red meat,274.8
1996,"Meat, eggs, and nuts",Meat,Red meat,270
1997,"Meat, eggs, and nuts",Meat,Red meat,265
1998,"Meat, eggs, and nuts",Meat,Red meat,274.4
1999,"Meat, eggs, and nuts",Meat,Red meat,278.3
2000,"Meat, eggs, and nuts",Meat,Red meat,275.8
2001,"Meat, eggs, and nuts",Meat,Red meat,270.4
2002,"Meat, eggs, and nuts",Meat,Red meat,276.6
2003,"Meat, eggs, and nuts",Meat,Red meat,270
2004,"Meat, eggs, and nuts",Meat,Red meat,271.8
2005,"Meat, eggs, and nuts",Meat,Red meat,267.3
2006,"Meat, eggs, and nuts",Meat,Red meat,267
2007,"Meat, eggs, and nuts",Meat,Red meat,267.7
2008,"Meat, eggs, and nuts",Meat,Red meat,257.4
2009,"Meat, eggs, and nuts",Meat,Red meat,255
2010,"Meat, eggs, and nuts",Meat,Red meat,246.6
2011,"Meat, eggs, and nuts",Meat,Red meat,236.3
2012,"Meat, eggs, and nuts",Meat,Red meat,237
2013,"Meat, eggs, and nuts",Meat,Red meat,236.3
2014,"Meat, eggs, and nuts",Meat,Red meat,228.9
2015,"Meat, eggs, and nuts",Meat,Red meat,235.9
2016,"Meat, eggs, and nuts",Meat,Red meat,240.8
2017,"Meat, eggs, and nuts",Meat,Red meat,244.9
1970,"Meat, eggs, and nuts",Meat,Poultry,74.2
1971,"Meat, eggs, and nuts",Meat,Poultry,74.4
1972,"Meat, eggs, and nuts",Meat,Poultry,77.4
1973,"Meat, eggs, and nuts",Meat,Poultry,73.8
1974,"Meat, eggs, and nuts",Meat,Poultry,73.9
1975,"Meat, eggs, and nuts",Meat,Poultry,72
1976,"Meat, eggs, and nuts",Meat,Poultry,77.7
1977,"Meat, eggs, and nuts",Meat,Poultry,78.7
1978,"Meat, eggs, and nuts",Meat,Poultry,82
1979,"Meat, eggs, and nuts",Meat,Poultry,88.4
1980,"Meat, eggs, and nuts",Meat,Poultry,89.2
1981,"Meat, eggs, and nuts",Meat,Poultry,92
1982,"Meat, eggs, and nuts",Meat,Poultry,92.4
1983,"Meat, eggs, and nuts",Meat,Poultry,93.3
1984,"Meat, eggs, and nuts",Meat,Poultry,96.2
1985,"Meat, eggs, and nuts",Meat,Poultry,99.5
1986,"Meat, eggs, and nuts",Meat,Poultry,102.9
1987,"Meat, eggs, and nuts",Meat,Poultry,110.3
1988,"Meat, eggs, and nuts",Meat,Poultry,111.8
1989,"Meat, eggs, and nuts",Meat,Poultry,115
1990,"Meat, eggs, and nuts",Meat,Poultry,120.8
1991,"Meat, eggs, and nuts",Meat,Poultry,125.2
1992,"Meat, eggs, and nuts",Meat,Poultry,130.7
1993,"Meat, eggs, and nuts",Meat,Poultry,134.3
1994,"Meat, eggs, and nuts",Meat,Poultry,135.8
1995,"Meat, eggs, and nuts",Meat,Poultry,134.5
1996,"Meat, eggs, and nuts",Meat,Poultry,136.1
1997,"Meat, eggs, and nuts",Meat,Poultry,138.4
1998,"Meat, eggs, and nuts",Meat,Poultry,139.8
1999,"Meat, eggs, and nuts",Meat,Poultry,147.1
2000,"Meat, eggs, and nuts",Meat,Poultry,148.4
2001,"Meat, eggs, and nuts",Meat,Poultry,148.1
2002,"Meat, eggs, and nuts",Meat,Poultry,154.9
2003,"Meat, eggs, and nuts",Meat,Poultry,156.4
2004,"Meat, eggs, and nuts",Meat,Poultry,160.1
2005,"Meat, eggs, and nuts",Meat,Poultry,162.5
2006,"Meat, eggs, and nuts",Meat,Poultry,163.6
2007,"Meat, eggs, and nuts",Meat,Poultry,162
2008,"Meat, eggs, and nuts",Meat,Poultry,159.3
2009,"Meat, eggs, and nuts",Meat,Poultry,152.2
2010,"Meat, eggs, and nuts",Meat,Poultry,156.2
2011,"Meat, eggs, and nuts",Meat,Poultry,156.6
2012,"Meat, eggs, and nuts",Meat,Poultry,152.5
2013,"Meat, eggs, and nuts",Meat,Poultry,155
2014,"Meat, eggs, and nuts",Meat,Poultry,157.3
2015,"Meat, eggs, and nuts",Meat,Poultry,166.5
2016,"Meat, eggs, and nuts",Meat,Poultry,168.6
2017,"Meat, eggs, and nuts",Meat,Poultry,170.5
1970,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.1
1971,"Meat, eggs, and nuts",Meat,Fish and shellfish,10.7
1972,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.8
1973,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.1
1974,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.3
1975,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.1
1976,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.8
1977,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.7
1978,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.5
1979,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.1
1980,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.4
1981,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.6
1982,"Meat, eggs, and nuts",Meat,Fish and shellfish,11.3
1983,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.1
1984,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.8
1985,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.6
1986,"Meat, eggs, and nuts",Meat,Fish and shellfish,14
1987,"Meat, eggs, and nuts",Meat,Fish and shellfish,14.5
1988,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.5
1989,"Meat, eggs, and nuts",Meat,Fish and shellfish,14
1990,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.5
1991,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.2
1992,"Meat, eggs, and nuts",Meat,Fish and shellfish,13
1993,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.1
1994,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.2
1995,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.2
1996,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.9
1997,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.7
1998,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.7
1999,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.9
2000,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.3
2001,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.8
2002,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.5
2003,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.8
2004,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.9
2005,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.7
2006,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.9
2007,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.8
2008,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.4
2009,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.3
2010,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.5
2011,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.7
2012,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.1
2013,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.2
2014,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.2
2015,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.2
2016,"Meat, eggs, and nuts",Meat,Fish and shellfish,12.5
2017,"Meat, eggs, and nuts",Meat,Fish and shellfish,13.4
1970,"Meat, eggs, and nuts",Eggs,Eggs,48.3
1971,"Meat, eggs, and nuts",Eggs,Eggs,48.5
1972,"Meat, eggs, and nuts",Eggs,Eggs,47.4
1973,"Meat, eggs, and nuts",Eggs,Eggs,45.1
1974,"Meat, eggs, and nuts",Eggs,Eggs,44.3
1975,"Meat, eggs, and nuts",Eggs,Eggs,43.2
1976,"Meat, eggs, and nuts",Eggs,Eggs,42.3
1977,"Meat, eggs, and nuts",Eggs,Eggs,41.9
1978,"Meat, eggs, and nuts",Eggs,Eggs,42.6
1979,"Meat, eggs, and nuts",Eggs,Eggs,43.4
1980,"Meat, eggs, and nuts",Eggs,Eggs,42.5
1981,"Meat, eggs, and nuts",Eggs,Eggs,41.5
1982,"Meat, eggs, and nuts",Eggs,Eggs,41.5
1983,"Meat, eggs, and nuts",Eggs,Eggs,40.9
1984,"Meat, eggs, and nuts",Eggs,Eggs,40.9
1985,"Meat, eggs, and nuts",Eggs,Eggs,40.1
1986,"Meat, eggs, and nuts",Eggs,Eggs,39.9
1987,"Meat, eggs, and nuts",Eggs,Eggs,39.9
1988,"Meat, eggs, and nuts",Eggs,Eggs,38.8
1989,"Meat, eggs, and nuts",Eggs,Eggs,37.3
1990,"Meat, eggs, and nuts",Eggs,Eggs,36.9
1991,"Meat, eggs, and nuts",Eggs,Eggs,36.7
1992,"Meat, eggs, and nuts",Eggs,Eggs,36.8
1993,"Meat, eggs, and nuts",Eggs,Eggs,36.8
1994,"Meat, eggs, and nuts",Eggs,Eggs,37
1995,"Meat, eggs, and nuts",Eggs,Eggs,36.6
1996,"Meat, eggs, and nuts",Eggs,Eggs,36.7
1997,"Meat, eggs, and nuts",Eggs,Eggs,36.9
1998,"Meat, eggs, and nuts",Eggs,Eggs,38.3
1999,"Meat, eggs, and nuts",Eggs,Eggs,39.8
2000,"Meat, eggs, and nuts",Eggs,Eggs,39.4
2001,"Meat, eggs, and nuts",Eggs,Eggs,39.5
2002,"Meat, eggs, and nuts",Eggs,Eggs,39.9
2003,"Meat, eggs, and nuts",Eggs,Eggs,40.5
2004,"Meat, eggs, and nuts",Eggs,Eggs,40.2
2005,"Meat, eggs, and nuts",Eggs,Eggs,39.6
2006,"Meat, eggs, and nuts",Eggs,Eggs,39.7
2007,"Meat, eggs, and nuts",Eggs,Eggs,38.8
2008,"Meat, eggs, and nuts",Eggs,Eggs,37.8
2009,"Meat, eggs, and nuts",Eggs,Eggs,38
2010,"Meat, eggs, and nuts",Eggs,Eggs,37.9
2011,"Meat, eggs, and nuts",Eggs,Eggs,38
2012,"Meat, eggs, and nuts",Eggs,Eggs,39.1
2013,"Meat, eggs, and nuts",Eggs,Eggs,39.7
2014,"Meat, eggs, and nuts",Eggs,Eggs,40.9
2015,"Meat, eggs, and nuts",Eggs,Eggs,39.4
2016,"Meat, eggs, and nuts",Eggs,Eggs,41.9
2017,"Meat, eggs, and nuts",Eggs,Eggs,42.6
1970,"Meat, eggs, and nuts",Nuts,Peanuts,35.7
1971,"Meat, eggs, and nuts",Nuts,Peanuts,35.2
1972,"Meat, eggs, and nuts",Nuts,Peanuts,37
1973,"Meat, eggs, and nuts",Nuts,Peanuts,39.1
1974,"Meat, eggs, and nuts",Nuts,Peanuts,37.6
1975,"Meat, eggs, and nuts",Nuts,Peanuts,38.8
1976,"Meat, eggs, and nuts",Nuts,Peanuts,36.5
1977,"Meat, eggs, and nuts",Nuts,Peanuts,36.8
1978,"Meat, eggs, and nuts",Nuts,Peanuts,38.9
1979,"Meat, eggs, and nuts",Nuts,Peanuts,39.5
1980,"Meat, eggs, and nuts",Nuts,Peanuts,32
1981,"Meat, eggs, and nuts",Nuts,Peanuts,36.4
1982,"Meat, eggs, and nuts",Nuts,Peanuts,39
1983,"Meat, eggs, and nuts",Nuts,Peanuts,38.3
1984,"Meat, eggs, and nuts",Nuts,Peanuts,38.9
1985,"Meat, eggs, and nuts",Nuts,Peanuts,41
1986,"Meat, eggs, and nuts",Nuts,Peanuts,41.3
1987,"Meat, eggs, and nuts",Nuts,Peanuts,41.1
1988,"Meat, eggs, and nuts",Nuts,Peanuts,44.2
1989,"Meat, eggs, and nuts",Nuts,Peanuts,44.8
1990,"Meat, eggs, and nuts",Nuts,Peanuts,38.8
1991,"Meat, eggs, and nuts",Nuts,Peanuts,41.9
1992,"Meat, eggs, and nuts",Nuts,Peanuts,39.8
1993,"Meat, eggs, and nuts",Nuts,Peanuts,38.7
1994,"Meat, eggs, and nuts",Nuts,Peanuts,36.8
1995,"Meat, eggs, and nuts",Nuts,Peanuts,36.1
1996,"Meat, eggs, and nuts",Nuts,Peanuts,36.3
1997,"Meat, eggs, and nuts",Nuts,Peanuts,37.1
1998,"Meat, eggs, and nuts",Nuts,Peanuts,37.6
1999,"Meat, eggs, and nuts",Nuts,Peanuts,38.6
2000,"Meat, eggs, and nuts",Nuts,Peanuts,37.2
2001,"Meat, eggs, and nuts",Nuts,Peanuts,37.5
2002,"Meat, eggs, and nuts",Nuts,Peanuts,37.3
2003,"Meat, eggs, and nuts",Nuts,Peanuts,40.6
2004,"Meat, eggs, and nuts",Nuts,Peanuts,42.5
2005,"Meat, eggs, and nuts",Nuts,Peanuts,42.5
2006,"Meat, eggs, and nuts",Nuts,Peanuts,41.6
2007,"Meat, eggs, and nuts",Nuts,Peanuts,40.2
2008,"Meat, eggs, and nuts",Nuts,Peanuts,40.8
2009,"Meat, eggs, and nuts",Nuts,Peanuts,42.1
2010,"Meat, eggs, and nuts",Nuts,Peanuts,44.2
2011,"Meat, eggs, and nuts",Nuts,Peanuts,44.1
2012,"Meat, eggs, and nuts",Nuts,Peanuts,42.6
2013,"Meat, eggs, and nuts",Nuts,Peanuts,43.5
2014,"Meat, eggs, and nuts",Nuts,Peanuts,44.1
2015,"Meat, eggs, and nuts",Nuts,Peanuts,46.8
2016,"Meat, eggs, and nuts",Nuts,Peanuts,45.7
2017,"Meat, eggs, and nuts",Nuts,Peanuts,46.5
1970,"Meat, eggs, and nuts",Nuts,Tree nuts,11
1971,"Meat, eggs, and nuts",Nuts,Tree nuts,11.9
1972,"Meat, eggs, and nuts",Nuts,Tree nuts,12.3
1973,"Meat, eggs, and nuts",Nuts,Tree nuts,11.1
1974,"Meat, eggs, and nuts",Nuts,Tree nuts,10
1975,"Meat, eggs, and nuts",Nuts,Tree nuts,12.2
1976,"Meat, eggs, and nuts",Nuts,Tree nuts,11.9
1977,"Meat, eggs, and nuts",Nuts,Tree nuts,10.8
1978,"Meat, eggs, and nuts",Nuts,Tree nuts,10.8
1979,"Meat, eggs, and nuts",Nuts,Tree nuts,11.2
1980,"Meat, eggs, and nuts",Nuts,Tree nuts,11.4
1981,"Meat, eggs, and nuts",Nuts,Tree nuts,12.2
1982,"Meat, eggs, and nuts",Nuts,Tree nuts,13.6
1983,"Meat, eggs, and nuts",Nuts,Tree nuts,14.2
1984,"Meat, eggs, and nuts",Nuts,Tree nuts,14.9
1985,"Meat, eggs, and nuts",Nuts,Tree nuts,15.2
1986,"Meat, eggs, and nuts",Nuts,Tree nuts,14.1
1987,"Meat, eggs, and nuts",Nuts,Tree nuts,13.9
1988,"Meat, eggs, and nuts",Nuts,Tree nuts,15.2
1989,"Meat, eggs, and nuts",Nuts,Tree nuts,14.1
1990,"Meat, eggs, and nuts",Nuts,Tree nuts,15.1
1991,"Meat, eggs, and nuts",Nuts,Tree nuts,13.5
1992,"Meat, eggs, and nuts",Nuts,Tree nuts,14.2
1993,"Meat, eggs, and nuts",Nuts,Tree nuts,14.7
1994,"Meat, eggs, and nuts",Nuts,Tree nuts,13.3
1995,"Meat, eggs, and nuts",Nuts,Tree nuts,13.1
1996,"Meat, eggs, and nuts",Nuts,Tree nuts,13.1
1997,"Meat, eggs, and nuts",Nuts,Tree nuts,13.8
1998,"Meat, eggs, and nuts",Nuts,Tree nuts,14.2
1999,"Meat, eggs, and nuts",Nuts,Tree nuts,17.1
2000,"Meat, eggs, and nuts",Nuts,Tree nuts,15.8
2001,"Meat, eggs, and nuts",Nuts,Tree nuts,17.4
2002,"Meat, eggs, and nuts",Nuts,Tree nuts,20.1
2003,"Meat, eggs, and nuts",Nuts,Tree nuts,21.1
2004,"Meat, eggs, and nuts",Nuts,Tree nuts,21.4
2005,"Meat, eggs, and nuts",Nuts,Tree nuts,16.5
2006,"Meat, eggs, and nuts",Nuts,Tree nuts,20.3
2007,"Meat, eggs, and nuts",Nuts,Tree nuts,21.6
2008,"Meat, eggs, and nuts",Nuts,Tree nuts,21.4
2009,"Meat, eggs, and nuts",Nuts,Tree nuts,22.5
2010,"Meat, eggs, and nuts",Nuts,Tree nuts,23
2011,"Meat, eggs, and nuts",Nuts,Tree nuts,22.3
2012,"Meat, eggs, and nuts",Nuts,Tree nuts,24.5
2013,"Meat, eggs, and nuts",Nuts,Tree nuts,23.5
2014,"Meat, eggs, and nuts",Nuts,Tree nuts,24.2
2015,"Meat, eggs, and nuts",Nuts,Tree nuts,24
2016,"Meat, eggs, and nuts",Nuts,Tree nuts,28.4
2017,"Meat, eggs, and nuts",Nuts,Tree nuts,29.3
1970,"Meat, eggs, and nuts",Nuts,Coconuts,3.3
1971,"Meat, eggs, and nuts",Nuts,Coconuts,3.6
1972,"Meat, eggs, and nuts",Nuts,Coconuts,3.9
1973,"Meat, eggs, and nuts",Nuts,Coconuts,3.3
1974,"Meat, eggs, and nuts",Nuts,Coconuts,3.1
1975,"Meat, eggs, and nuts",Nuts,Coconuts,3.1
1976,"Meat, eggs, and nuts",Nuts,Coconuts,3.1
1977,"Meat, eggs, and nuts",Nuts,Coconuts,3.1
1978,"Meat, eggs, and nuts",Nuts,Coconuts,3.3
1979,"Meat, eggs, and nuts",Nuts,Coconuts,2.8
1980,"Meat, eggs, and nuts",Nuts,Coconuts,2.7
1981,"Meat, eggs, and nuts",Nuts,Coconuts,2.8
1982,"Meat, eggs, and nuts",Nuts,Coconuts,2.8
1983,"Meat, eggs, and nuts",Nuts,Coconuts,2.9
1984,"Meat, eggs, and nuts",Nuts,Coconuts,2.9
1985,"Meat, eggs, and nuts",Nuts,Coconuts,3
1986,"Meat, eggs, and nuts",Nuts,Coconuts,3.2
1987,"Meat, eggs, and nuts",Nuts,Coconuts,4
1988,"Meat, eggs, and nuts",Nuts,Coconuts,3.4
1989,"Meat, eggs, and nuts",Nuts,Coconuts,3.3
1990,"Meat, eggs, and nuts",Nuts,Coconuts,3.3
1991,"Meat, eggs, and nuts",Nuts,Coconuts,3.2
1992,"Meat, eggs, and nuts",Nuts,Coconuts,3.4
1993,"Meat, eggs, and nuts",Nuts,Coconuts,3.4
1994,"Meat, eggs, and nuts",Nuts,Coconuts,3.5
1995,"Meat, eggs, and nuts",Nuts,Coconuts,3.5
1996,"Meat, eggs, and nuts",Nuts,Coconuts,3.7
1997,"Meat, eggs, and nuts",Nuts,Coconuts,4
1998,"Meat, eggs, and nuts",Nuts,Coconuts,4.3
1999,"Meat, eggs, and nuts",Nuts,Coconuts,4
2000,"Meat, eggs, and nuts",Nuts,Coconuts,4.3
2001,"Meat, eggs, and nuts",Nuts,Coconuts,4.3
2002,"Meat, eggs, and nuts",Nuts,Coconuts,4.2
2003,"Meat, eggs, and nuts",Nuts,Coconuts,4.1
2004,"Meat, eggs, and nuts",Nuts,Coconuts,3.8
2005,"Meat, eggs, and nuts",Nuts,Coconuts,4
2006,"Meat, eggs, and nuts",Nuts,Coconuts,3.9
2007,"Meat, eggs, and nuts",Nuts,Coconuts,4.1
2008,"Meat, eggs, and nuts",Nuts,Coconuts,3.7
2009,"Meat, eggs, and nuts",Nuts,Coconuts,4.1
2010,"Meat, eggs, and nuts",Nuts,Coconuts,4.3
2011,"Meat, eggs, and nuts",Nuts,Coconuts,4.7
2012,"Meat, eggs, and nuts",Nuts,Coconuts,5.4
2013,"Meat, eggs, and nuts",Nuts,Coconuts,5
2014,"Meat, eggs, and nuts",Nuts,Coconuts,5.9
2015,"Meat, eggs, and nuts",Nuts,Coconuts,6.6
2016,"Meat, eggs, and nuts",Nuts,Coconuts,6.5
2017,"Meat, eggs, and nuts",Nuts,Coconuts,6.2
1970,Dairy,Fluid milk products,Beverage milk,136.5561283
1971,Dairy,Fluid milk products,Beverage milk,136.0405533
1972,Dairy,Fluid milk products,Beverage milk,134.1848667
1973,Dairy,Fluid milk products,Beverage milk,131.0289479
1974,Dairy,Fluid milk products,Beverage milk,125.9639421
1975,Dairy,Fluid milk products,Beverage milk,125.5491875
1976,Dairy,Fluid milk products,Beverage milk,124.2746925
1977,Dairy,Fluid milk products,Beverage milk,122.2120818
1978,Dairy,Fluid milk products,Beverage milk,120.0086774
1979,Dairy,Fluid milk products,Beverage milk,117.9131782
1980,Dairy,Fluid milk products,Beverage milk,114.8446954
1981,Dairy,Fluid milk products,Beverage milk,112.586894
1982,Dairy,Fluid milk products,Beverage milk,109.286082
1983,Dairy,Fluid milk products,Beverage milk,108.7248055
1984,Dairy,Fluid milk products,Beverage milk,108.5968821
1985,Dairy,Fluid milk products,Beverage milk,109.1365053
1986,Dairy,Fluid milk products,Beverage milk,107.7913399
1987,Dairy,Fluid milk products,Beverage milk,105.8529233
1988,Dairy,Fluid milk products,Beverage milk,104.8545227
1989,Dairy,Fluid milk products,Beverage milk,103.2678225
1990,Dairy,Fluid milk products,Beverage milk,100.6390525
1991,Dairy,Fluid milk products,Beverage milk,99.30117162
1992,Dairy,Fluid milk products,Beverage milk,97.35500397
1993,Dairy,Fluid milk products,Beverage milk,94.40407704
1994,Dairy,Fluid milk products,Beverage milk,93.29813498
1995,Dairy,Fluid milk products,Beverage milk,91.14876461
1996,Dairy,Fluid milk products,Beverage milk,90.46387442
1997,Dairy,Fluid milk products,Beverage milk,88.63027876
1998,Dairy,Fluid milk products,Beverage milk,87.00777374
1999,Dairy,Fluid milk products,Beverage milk,86.84975371
2000,Dairy,Fluid milk products,Beverage milk,86.88205997
2001,Dairy,Fluid milk products,Beverage milk,85.20269921
2002,Dairy,Fluid milk products,Beverage milk,84.65259913
2003,Dairy,Fluid milk products,Beverage milk,83.5657472
2004,Dairy,Fluid milk products,Beverage milk,82.06381454
2005,Dairy,Fluid milk products,Beverage milk,81.25909415
2006,Dairy,Fluid milk products,Beverage milk,80.32348793
2007,Dairy,Fluid milk products,Beverage milk,79.04840551
2008,Dairy,Fluid milk products,Beverage milk,77.77418197
2009,Dairy,Fluid milk products,Beverage milk,77.44783348
2010,Dairy,Fluid milk products,Beverage milk,76.70711483
2011,Dairy,Fluid milk products,Beverage milk,75.10218748
2012,Dairy,Fluid milk products,Beverage milk,73.48246382
2013,Dairy,Fluid milk products,Beverage milk,71.71529195
2014,Dairy,Fluid milk products,Beverage milk,69.48015961
2015,Dairy,Fluid milk products,Beverage milk,68.37932596
2016,Dairy,Fluid milk products,Beverage milk,68.01951587
2017,Dairy,Fluid milk products,Beverage milk,66.67252557
1970,Dairy,Fluid milk products,Yogurt,0.417775376
1971,Dairy,Fluid milk products,Yogurt,0.548564279
1972,Dairy,Fluid milk products,Yogurt,0.650548943
1973,Dairy,Fluid milk products,Yogurt,0.691884498
1974,Dairy,Fluid milk products,Yogurt,0.732719197
1975,Dairy,Fluid milk products,Yogurt,0.994636597
1976,Dairy,Fluid milk products,Yogurt,1.077755264
1977,Dairy,Fluid milk products,Yogurt,1.181709756
1978,Dairy,Fluid milk products,Yogurt,1.237399566
1979,Dairy,Fluid milk products,Yogurt,1.235005781
1980,Dairy,Fluid milk products,Yogurt,1.264943075
1981,Dairy,Fluid milk products,Yogurt,1.230614195
1982,Dairy,Fluid milk products,Yogurt,1.306005296
1983,Dairy,Fluid milk products,Yogurt,1.596078737
1984,Dairy,Fluid milk products,Yogurt,1.79614619
1985,Dairy,Fluid milk products,Yogurt,1.992240843
1986,Dairy,Fluid milk products,Yogurt,2.099908598
1987,Dairy,Fluid milk products,Yogurt,2.235233112
1988,Dairy,Fluid milk products,Yogurt,2.371772294
1989,Dairy,Fluid milk products,Yogurt,1.854940124
1990,Dairy,Fluid milk products,Yogurt,1.968151959
1991,Dairy,Fluid milk products,Yogurt,2.073107315
1992,Dairy,Fluid milk products,Yogurt,2.224543927
1993,Dairy,Fluid milk products,Yogurt,2.460603484
1994,Dairy,Fluid milk products,Yogurt,2.633860363
1995,Dairy,Fluid milk products,Yogurt,3.098845377
1996,Dairy,Fluid milk products,Yogurt,2.960508317
1997,Dairy,Fluid milk products,Yogurt,2.900833369
1998,Dairy,Fluid milk products,Yogurt,2.990712095
1999,Dairy,Fluid milk products,Yogurt,3.094382125
2000,Dairy,Fluid milk products,Yogurt,3.278885304
2001,Dairy,Fluid milk products,Yogurt,3.543547497
2002,Dairy,Fluid milk products,Yogurt,4.051462712
2003,Dairy,Fluid milk products,Yogurt,4.360232177
2004,Dairy,Fluid milk products,Yogurt,4.660226091
2005,Dairy,Fluid milk products,Yogurt,5.223639542
2006,Dairy,Fluid milk products,Yogurt,5.588952711
2007,Dairy,Fluid milk products,Yogurt,5.834166201
2008,Dairy,Fluid milk products,Yogurt,5.919567078
2009,Dairy,Fluid milk products,Yogurt,6.290747932
2010,Dairy,Fluid milk products,Yogurt,6.785681638
2011,Dairy,Fluid milk products,Yogurt,6.890238085
2012,Dairy,Fluid milk products,Yogurt,7.083825003
2013,Dairy,Fluid milk products,Yogurt,7.540290158
2014,Dairy,Fluid milk products,Yogurt,7.499672294
2015,Dairy,Fluid milk products,Yogurt,7.264938696
2016,Dairy,Fluid milk products,Yogurt,6.936979757
2017,Dairy,Fluid milk products,Yogurt,6.937764857
1970,Dairy,Natural cheese,American cheese,28.40395315
1971,Dairy,Natural cheese,American cheese,29.57542718
1972,Dairy,Natural cheese,American cheese,30.82390546
1973,Dairy,Natural cheese,American cheese,31.38990261
1974,Dairy,Natural cheese,American cheese,33.6786916
1975,Dairy,Natural cheese,American cheese,32.37739944
1976,Dairy,Natural cheese,American cheese,35.16703635
1977,Dairy,Natural cheese,American cheese,36.58317751
1978,Dairy,Natural cheese,American cheese,37.7345523
1979,Dairy,Natural cheese,American cheese,37.95801072
1980,Dairy,Natural cheese,American cheese,37.9454187
1981,Dairy,Natural cheese,American cheese,39.85072393
1982,Dairy,Natural cheese,American cheese,45.27567039
1983,Dairy,Natural cheese,American cheese,46.63436618
1984,Dairy,Natural cheese,American cheese,47.86203679
1985,Dairy,Natural cheese,American cheese,49.17068549
1986,Dairy,Natural cheese,American cheese,48.95801049
1987,Dairy,Natural cheese,American cheese,50.7008108
1988,Dairy,Natural cheese,American cheese,46.69755999
1989,Dairy,Natural cheese,American cheese,44.83329609
1990,Dairy,Natural cheese,American cheese,45.02514858
1991,Dairy,Natural cheese,American cheese,44.7081085
1992,Dairy,Natural cheese,American cheese,45.55499008
1993,Dairy,Natural cheese,American cheese,45.64424132
1994,Dairy,Natural cheese,American cheese,45.97685427
